# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Feb  5 08:20:20 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0254 0.25579 10.00000 0.8500000238 2.4350347519    0.849 -0.355  3.7091  4.510    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.34e-14      0.00 7.222e-01 2.550e-01 4.033e-03 1.103e-03 1.003e-02 -1.000 2.277e-02 5.657 5.604 6.067 4.983
0.0254 0.25579 10.00000 0.8602800369 2.4381191730    0.860 -0.322  3.7131  4.498    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-14      0.00 7.233e-01 2.540e-01 4.019e-03 1.099e-03 9.994e-03 -1.000 2.267e-02 5.575 5.513 5.965 4.901
0.0254 0.25579 10.00000 0.8786795735 2.4434328079    0.878 -0.262  3.7200  4.476    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.22e-14      0.00 7.253e-01 2.522e-01 3.994e-03 1.092e-03 9.933e-03 -1.000 2.256e-02 5.426 5.349 5.784 4.753
0.0254 0.25579 10.00000 0.8953805566 2.4480392933    0.894 -0.208  3.7260  4.454    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.86e-14      0.00 7.270e-01 2.506e-01 3.972e-03 1.086e-03 9.879e-03 -1.000 2.243e-02 5.291 5.202 5.622 4.619
0.0254 0.25579 10.00000 0.8999999762 2.4492788315    0.899 -0.193  3.7276  4.447    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-14      0.00 7.275e-01 2.501e-01 3.966e-03 1.085e-03 9.865e-03 -1.000 2.241e-02 5.253 5.161 5.578 4.582
0.0254 0.25579 10.00000 0.9037680626 2.4502789974    0.903 -0.181  3.7288  4.442    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.22e-14      0.00 7.279e-01 2.497e-01 3.960e-03 1.083e-03 9.851e-03 -1.000 2.239e-02 5.222 5.127 5.541 4.551
0.0254 0.25579 10.00000 0.9148506522 2.4531660080    0.914 -0.144  3.7324  4.424    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.76e-14      0.00 7.293e-01 2.484e-01 3.943e-03 1.079e-03 9.810e-03 -1.000 2.231e-02 5.130 5.029 5.435 4.461
0.0254 0.25579 10.00000 0.9253927469 2.4558386803    0.924 -0.109  3.7356  4.407    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.34e-14      0.00 7.306e-01 2.472e-01 3.927e-03 1.074e-03 9.771e-03 -1.000 2.223e-02 5.042 4.936 5.334 4.375
0.0254 0.25579 10.00000 0.9355603456 2.4583506584    0.935 -0.075  3.7385  4.389    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.97e-14      0.00 7.318e-01 2.461e-01 3.912e-03 1.070e-03 9.733e-03 -1.000 2.214e-02 4.956 4.845 5.236 4.291
0.0254 0.25579 10.00000 0.9453238249 2.4607045650    0.944 -0.042  3.7411  4.371    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.63e-14      0.00 7.329e-01 2.450e-01 3.898e-03 1.066e-03 9.701e-03 -1.000 2.209e-02 4.874 4.759 5.144 4.211
0.0254 0.25579 10.00000 0.9499999285 2.4618122578    0.949 -0.026  3.7422  4.362    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.97e-14      0.00 7.334e-01 2.445e-01 3.892e-03 1.065e-03 9.688e-03 -1.000 2.205e-02 4.835 4.719 5.101 4.174
0.0254 0.25579 10.00000 0.9551624656 2.4630208015    0.954 -0.009  3.7434  4.352    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -8.38e-14      0.00 7.341e-01 2.439e-01 3.883e-03 1.063e-03 9.669e-03 -1.000 2.199e-02 4.792 4.674 5.054 4.132
0.0254 0.25579 10.00000 0.9644222260 2.4651510715    0.964  0.022  3.7452  4.332    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.16e-14      0.00 7.352e-01 2.429e-01 3.870e-03 1.059e-03 9.637e-03 -1.000 2.193e-02 4.714 4.594 4.969 4.056
0.0254 0.25579 10.00000 0.9793025255 2.4684774876    0.979  0.075  3.7478  4.297    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.360e-01 2.421e-01 3.861e-03 1.056e-03 9.610e-03 -1.000 2.187e-02 4.582 4.459 4.827 3.928
0.0254 0.25579 10.00000 0.9870811701 2.4701704979    0.986  0.104  3.7492  4.277    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-13      0.00 7.357e-01 2.424e-01 3.866e-03 1.058e-03 9.623e-03 -1.000 2.192e-02 4.511 4.386 4.751 3.858
0.0254 0.25579 10.00000 0.9935528040 2.4715559483    0.993  0.129  3.7500  4.258    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.25e-13      0.00 7.350e-01 2.430e-01 3.875e-03 1.060e-03 9.648e-03 -1.000 2.198e-02 4.449 4.323 4.686 3.797
0.0254 0.25579 10.00000 1.0000000000 2.4729156494    0.999  0.154  3.7506  4.238    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-13      0.00 7.342e-01 2.437e-01 3.887e-03 1.064e-03 9.677e-03 -1.000 2.206e-02 4.386 4.260 4.621 3.735
0.0254 0.25579 10.00000 1.0059424639 2.4741511345    1.005  0.178  3.7510  4.219    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-13      0.00 7.336e-01 2.443e-01 3.897e-03 1.066e-03 9.701e-03 -1.000 2.212e-02 4.326 4.200 4.560 3.676
0.0254 0.25579 10.00000 1.0141944885 2.4758391380    1.013  0.212  3.7510  4.188    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-13      0.00 7.323e-01 2.455e-01 3.916e-03 1.071e-03 9.749e-03 -1.000 2.218e-02 4.241 4.115 4.475 3.591
0.0254 0.25579 10.00000 1.0218359232 2.4773743153    1.021  0.244  3.7504  4.157    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-13      0.00 7.307e-01 2.470e-01 3.941e-03 1.078e-03 9.815e-03 -1.000 2.233e-02 4.160 4.034 4.396 3.510
0.0254 0.25579 10.00000 1.0242576599 2.4778554440    1.023  0.254  3.7501  4.146    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-13      0.00 7.295e-01 2.480e-01 3.960e-03 1.084e-03 9.860e-03 -1.000 2.243e-02 4.134 4.009 4.371 3.483
0.0254 0.25579 10.00000 1.0284125805 2.4786746502    1.027  0.273  3.7489  4.125    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-13      0.00 7.271e-01 2.502e-01 3.993e-03 1.093e-03 9.943e-03 -1.000 2.263e-02 4.088 3.965 4.330 3.437
0.0254 0.25579 10.00000 1.0365872383 2.4802646637    1.035  0.308  3.7454  4.079    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-13      0.00 7.217e-01 2.553e-01 4.068e-03 1.113e-03 1.013e-02 -1.000 2.302e-02 4.001 3.882 4.254 3.346
0.0254 0.25579 10.00000 1.0449070930 2.4818532467    1.043  0.338  3.7369  4.018    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-13      0.00 7.132e-01 2.631e-01 4.181e-03 1.144e-03 1.041e-02 -1.000 2.365e-02 3.925 3.819 4.210 3.266
0.0254 0.25579 10.00000 1.0493131876 2.4826829433    1.048  0.348  3.7292  3.979    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.6e-13      0.00 7.074e-01 2.685e-01 4.254e-03 1.164e-03 1.058e-02 -1.000 2.410e-02 3.900 3.807 4.214 3.237
0.0254 0.25579 10.00000 1.0499999523 2.4828116894    1.049  0.348  3.7271  3.971    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-13      0.00 7.062e-01 2.696e-01 4.269e-03 1.167e-03 1.062e-02 -1.000 2.417e-02 3.899 3.811 4.223 3.236
0.0254 0.25579 10.00000 1.0522664785 2.4832346439    1.051  0.348  3.7199  3.943    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-13      0.00 7.023e-01 2.733e-01 4.316e-03 1.180e-03 1.073e-02 -1.000 2.442e-02 3.900 3.826 4.254 3.235
0.0254 0.25579 10.00000 1.0541771650 2.4835896492    1.053  0.346  3.7114  3.912    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.78e-13      0.00 6.987e-01 2.767e-01 4.359e-03 1.192e-03 1.083e-02 -1.000 2.465e-02 3.904 3.849 4.297 3.241
0.0254 0.25579 10.00000 1.0558819771 2.4839050770    1.054  0.352  3.7030  3.873    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-13      0.00 6.954e-01 2.798e-01 4.397e-03 1.202e-03 1.092e-02 -1.000 2.482e-02 3.890 3.856 4.324 3.229
0.0254 0.25579 10.00000 1.0575696230 2.4842162132    1.056  0.374  3.6956  3.822    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.24e-13      0.00 6.921e-01 2.830e-01 4.431e-03 1.211e-03 1.100e-02 -1.000 2.496e-02 3.835 3.821 4.309 3.178
0.0254 0.25579 10.00000 1.0590391159 2.4844863415    1.057  0.405  3.6903  3.770    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.69e-13      0.00 6.890e-01 2.858e-01 4.458e-03 1.218e-03 1.107e-02 -1.000 2.514e-02 3.756 3.757 4.258 3.102
0.0254 0.25579 10.00000 1.0597102642 2.4846093655    1.058  0.426  3.6886  3.742    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -4e-13      0.00 6.876e-01 2.872e-01 4.467e-03 1.221e-03 1.109e-02 -1.000 2.523e-02 3.704 3.710 4.216 3.051
